iter	Passed	Remaining
400	29635	44267
401	29704	44187
402	29785	44123
403	29872	44070
404	29954	44006
405	30028	43933
406	30102	43859
407	30167	43772
408	30235	43689
409	30316	43626
410	30398	43563
411	30479	43499
412	30556	43430
413	30635	43363
414	30716	43298
415	30787	43221
416	30866	43153
417	30948	43091
418	31017	43010
419	31103	42952
420	31185	42889
421	31263	42821
422	31334	42741
423	31423	42687
424	31492	42607
425	31572	42540
426	31654	42478
427	31736	42414
428	31821	42354
429	31911	42301
430	31991	42235
431	32075	42173
432	32146	42094
433	32216	42015
434	32286	41935
435	32361	41861
436	32438	41791
437	32511	41715
438	32580	41634
439	32658	41565
440	32739	41499
441	32821	41435
442	32892	41357
443	32971	41288
444	33048	41218
445	33129	41151
446	33207	41082
447	33291	41019
448	33371	40952
449	33447	40880
450	33527	40813
451	33600	40737
452	33687	40677
453	33768	40611
454	33847	40543
455	33932	40480
456	34009	40409
457	34091	40344
458	34170	40274
459	34256	40214
460	34332	40141
461	34412	40072
462	34495	40008
463	34583	39949
464	34663	39881
465	34745	39815
466	34819	39740
467	34896	39669
468	34977	39601
469	35049	39524
470	35130	39456
471	35200	39377
472	35279	39306
473	35357	39236
474	35424	39152
475	35498	39077
476	35570	39000
477	35638	38918
478	35727	38860
479	35804	38788
480	35876	38710
481	35951	38637
482	36032	38569
483	36109	38496
484	36185	38423
485	36263	38353
486	36343	38283
487	36422	38213
488	36504	38146
489	36585	38078
490	36668	38012
491	36747	37942
492	36826	37872
493	36908	37804
494	36987	37734
495	37060	37658
496	37143	37591
497	37224	37523
498	37302	37451
499	37379	37379
500	37462	37312
501	37534	37235
502	37616	37167
503	37692	37094
504	37762	37014
505	37851	36953
506	37926	36878
507	38005	36808
508	38088	36741
509	38165	36668
510	38228	36582
511	38305	36510
512	38384	36438
513	38453	36358
514	38530	36285
515	38603	36209
516	38683	36139
517	38749	36056
518	38820	35978
519	38902	35910
520	38981	35839
521	39058	35766
522	39132	35691
523	39205	35614
524	39271	35531
525	39351	35461
526	39430	35390
527	39503	35313
528	39573	35235
529	39652	35163
530	39732	35093
531	39806	35017
532	39885	34946
533	39962	34873
534	40042	34802
535	40117	34728
536	40194	34655
537	40265	34577
538	40337	34500
539	40411	34424
540	40480	34345
541	40560	34274
542	40633	34197
543	40717	34130
544	40794	34058
545	40877	33989
546	40950	33913
547	41009	33825
548	41091	33756
549	41169	33684
550	41245	33609
551	41327	33541
552	41407	33470
553	41485	33398
554	41563	33325
555	41634	33247
556	41716	33178
557	41781	33095
558	41855	33020
559	41936	32949
560	42010	32874
561	42098	32810
562	42175	32736
563	42257	32667
564	42329	32589
565	42410	32519
566	42482	32442
567	42565	32373
568	42640	32299
569	42724	32230
570	42805	32160
571	42881	32086
572	42957	32011
573	43024	31931
574	43120	31871
575	43185	31789
576	43256	31711
577	43330	31635
578	43406	31561
579	43482	31487
580	43565	31418
581	43650	31350
582	43721	31272
583	43809	31207
584	43884	31131
585	43969	31063
586	44047	30991
587	44138	30926
588	44224	30859
589	44300	30784
590	44383	30715
591	44462	30643
592	44535	30566
593	44614	30494
594	44686	30416
595	44752	30335
596	44829	30261
597	44915	30194
598	44984	30114
599	45069	30046
600	45155	29978
601	45226	29900
602	45311	29831
603	45397	29763
604	45473	29689
605	45544	29611
606	45623	29538
607	45711	29472
608	45782	29393
609	45862	29322
610	45945	29251
611	46023	29178
612	46107	29108
613	46179	29031
614	46260	28959
615	46336	28884
616	46406	28806
617	46480	28730
618	46561	28658
619	46645	28589
620	46732	28520
621	46813	28449
622	46899	28380
623	46969	28302
624	47044	28226
625	47131	28158
626	47210	28085
627	47289	28012
628	47361	27935
